,city,latitude_center,longitude_center
139,Ursel,51.1300675,3.4855189
140,Outer,50.8415963,3.9994911
141,Mendonk,51.1467255,3.8221384
142,Steendorp,51.1277232,4.2701992
143,Hoorebeke,50.8348628,3.6920346
144,Merendree,51.0779702,3.576948
145,Bevere,50.8514759,3.5953981
146,Schendelbeke,50.7968671,3.8989486
147,Schellebelle,51.0127238,3.928714
148,Kalken,51.0370133,3.918568
149,Boekhoute,51.2576962,3.7176064
150,Denderwindeke,50.7986183,4.0241352
151,Nieuwkerken-Waas,51.1933908,4.1780279
152,Vrasene,51.2191283,4.194377
153,Grammene,50.9764412,3.468333
154,Vinkt,51.0078663,3.4808321
155,Munte,50.9452452,3.7445458
156,Sint-Maria-Oudenhove,50.8338454,3.7949437
157,Nieuwenhove,51.1391795,3.2334799
158,Zwijnaarde,51.0003917,3.7167702
159,Horebeke,50.8348628,3.6920346
160,Parike,50.7849168,3.799316
161,Afsnee,51.0309024,3.6683286
162,Zingem,50.9007467,3.6583837090196862
163,Kastel,51.0490202,4.1693855
164,Rupelmonde,51.1271881,4.290421
165,Kaprijke,51.2185075,3.6190769
166,Scheldewindeke,50.9381419,3.784777
167,Teralfene,50.8921419,4.09834
168,Erondegem,50.9407226,3.9555369
